Artist,Score,Rank,Number Of Albums
nwa,1000,923,1
dawn,1000,923,1
noir desir,1000,923,1
david lee roth,1000,923,1
no use for a name,1000,923,1
dark tranquillity,1000,923,1
no doubt,1000,923,1
dark angel,1000,923,1
new york dolls,1000,923,1
damn yankees,1000,923,1
naked city,1000,923,1
crumbsuckers,1000,923,1
nada surf,1000,923,1
crowbar,1000,923,1
mott the hoople,1000,923,1
crosby stills nash and young,1000,923,2
montrose,1000,923,1
crosby stills and nash,1000,923,0
minor threat,1000,923,1
repulsion,1000,923,1
midnight oil,1000,923,1
crass,1000,923,1
metal church,1000,923,1
coroner,1000,923,1
mc5,1000,923,1
coal chamber,1000,923,1
love/hate,1000,923,1
circle jerks,1000,923,1
lou reed,1000,923,1
charged gbh,1000,923,1
leatherface,1000,923,1
caspar brotzmann massaker,1000,923,1
l7,1000,923,1
captain beyond,1000,923,1
king diamond,1000,923,1
captain beefheart,1000,923,1
bush,1000,923,1
disrupt,1000,923,1
dismember,1000,923,1
cro mags,1000,923,1
the dogs d'amour,1000,923,1
stevie nicks,1000,923,1
t rex,1000,923,1
soul asylum,1000,923,1
the jesus lizard,1000,923,1
skinny puppy,1000,923,1
